Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BOOTSEL1,SW_Push,SW_Push_1P1T_XKB_TS-1187A,98.85,-107.65,-90,bottom
C1,100n,C_0402_1005Metric,124.432101,-111.280742,135,bottom
C2,100n,C_0402_1005Metric,125.102101,-111.950742,135,bottom
C3,100n,C_0402_1005Metric,129.072101,-112.630742,90,bottom
C4,100n,C_0402_1005Metric,130.022101,-112.630742,90,bottom
C5,100n,C_0402_1005Metric,133.782101,-102.180742,135,bottom
C6,100n,C_0402_1005Metric,133.872101,-109.130742,45,bottom
C7,100n,C_0402_1005Metric,122.692101,-104.970742,135,bottom
C8,1u,C_0402_1005Metric,128.122101,-112.630742,-90,bottom
C9,100n,C_0402_1005Metric,123.762101,-110.610742,135,bottom
C10,100n,C_0402_1005Metric,134.453852,-102.852493,135,bottom
C11,1u,C_0402_1005Metric,127.169761,-112.628402,-90,bottom
C12,1u,C_0402_1005Metric,121.95,-40.7,0,bottom
C13,1u,C_0402_1005Metric,118.03,-42.57,-90,bottom
C14,15p,C_0402_1005Metric,131.782101,-99.490742,45,bottom
C15,15p,C_0402_1005Metric,133.139746,-100.848387,45,bottom
C16,100n,C_0402_1005Metric,111.2,-112.49,180,bottom
C17,100n,C_0402_1005Metric,125.232101,-100.480742,45,bottom
D1,D_Small,Diode_SOD-123_noref2,34.05625,-36.91875,90,bottom
D2,D_Small,Diode_SOD-123_noref2,53.05625,-36.91875,90,bottom
D3,D_Small,Diode_SOD-123_noref2,72.05625,-36.91875,90,bottom
D4,D_Small,Diode_SOD-123_noref2,95.25,-33.875,90,bottom
D5,D_Small,Diode_SOD-123_noref2,114.9,-36.4,90,bottom
D6,D_Small,Diode_SOD-123_noref2,129.05625,-36.91875,90,bottom
D7,D_Small,Diode_SOD-123_noref2,148.05625,-36.91875,90,bottom
D8,D_Small,Diode_SOD-123_noref2,167.05625,-36.91875,90,bottom
D9,D_Small,Diode_SOD-123_noref2,186.05625,-36.91875,90,bottom
D10,D_Small,Diode_SOD-123_noref2,205.05625,-36.91875,90,bottom
D11,D_Small,Diode_SOD-123_noref2,224.05625,-36.91875,90,bottom
D12,D_Small,Diode_SOD-123_noref2,243.05625,-36.91875,90,bottom
D13,D_Small,Diode_SOD-123_noref2,262.05625,-36.91875,90,bottom
D14,D_Small,Diode_SOD-123_noref2,281.05625,-36.91875,90,bottom
D15,D_Small,Diode_SOD-123_noref2,300.05625,-36.91875,90,bottom
D16,D_Small,Diode_SOD-123_noref2,38.80625,-55.91875,90,bottom
D17,D_Small,Diode_SOD-123_noref2,62.55625,-55.91875,90,bottom
D18,D_Small,Diode_SOD-123_noref2,81.55625,-55.91875,90,bottom
D19,D_Small,Diode_SOD-123_noref2,100.55625,-55.91875,90,bottom
D20,D_Small,Diode_SOD-123_noref2,119.55625,-55.91875,90,bottom
D21,D_Small,Diode_SOD-123_noref2,138.55625,-55.91875,90,bottom
D22,D_Small,Diode_SOD-123_noref2,157.55625,-55.91875,90,bottom
D23,D_Small,Diode_SOD-123_noref2,176.55625,-55.91875,90,bottom
D24,D_Small,Diode_SOD-123_noref2,195.55625,-55.91875,90,bottom
D25,D_Small,Diode_SOD-123_noref2,214.55625,-55.91875,90,bottom
D26,D_Small,Diode_SOD-123_noref2,233.55625,-55.91875,90,bottom
D27,D_Small,Diode_SOD-123_noref2,252.55625,-55.91875,90,bottom
D28,D_Small,Diode_SOD-123_noref2,271.55625,-55.91875,90,bottom
D29,D_Small,Diode_SOD-123_noref2,299.25,-55.91875,90,bottom
D30,D_Small,Diode_SOD-123_noref2,42.39,-74.91875,90,bottom
D31,D_Small,Diode_SOD-123_noref2,67.30625,-74.91875,90,bottom
D32,D_Small,Diode_SOD-123_noref2,86.30625,-74.91875,90,bottom
D33,D_Small,Diode_SOD-123_noref2,105.30625,-74.91875,90,bottom
D34,D_Small,Diode_SOD-123_noref2,124.30625,-74.91875,90,bottom
D35,D_Small,Diode_SOD-123_noref2,143.30625,-74.91875,90,bottom
D36,D_Small,Diode_SOD-123_noref2,162.30625,-74.91875,90,bottom
D37,D_Small,Diode_SOD-123_noref2,181.30625,-74.91875,90,bottom
D38,D_Small,Diode_SOD-123_noref2,200.30625,-74.91875,90,bottom
D39,D_Small,Diode_SOD-123_noref2,219.30625,-74.91875,90,bottom
D40,D_Small,Diode_SOD-123_noref2,238.30625,-74.91875,90,bottom
D41,D_Small,Diode_SOD-123_noref2,257.30625,-74.91875,90,bottom
D42,D_Small,Diode_SOD-123_noref2,276.30625,-74.91875,90,bottom
D43,D_Small,Diode_SOD-123_noref2,45.93125,-93.91875,90,bottom
D44,D_Small,Diode_SOD-123_noref2,76.80625,-93.91875,90,bottom
D45,D_Small,Diode_SOD-123_noref2,95.80625,-93.91875,90,bottom
D46,D_Small,Diode_SOD-123_noref2,114.80625,-93.91875,90,bottom
D47,D_Small,Diode_SOD-123_noref2,133.80625,-93.91875,90,bottom
D48,D_Small,Diode_SOD-123_noref2,152.80625,-93.91875,90,bottom
D49,D_Small,Diode_SOD-123_noref2,171.80625,-93.91875,90,bottom
D50,D_Small,Diode_SOD-123_noref2,190.80625,-93.91875,90,bottom
D51,D_Small,Diode_SOD-123_noref2,209.80625,-93.91875,90,bottom
D52,D_Small,Diode_SOD-123_noref2,228.80625,-93.91875,90,bottom
D53,D_Small,Diode_SOD-123_noref2,247.80625,-93.91875,90,bottom
D54,D_Small,Diode_SOD-123_noref2,273.93125,-93.91875,90,bottom
D55,D_Small,Diode_SOD-123_noref2,300.05625,-93.91875,90,bottom
D56,D_Small,Diode_SOD-123_noref2,252.55625,-112.91875,90,bottom
D57,D_Small,Diode_SOD-123_noref2,38.80625,-112.91875,90,bottom
D58,D_Small,Diode_SOD-123_noref2,62.55625,-112.91875,90,bottom
D59,D_Small,Diode_SOD-123_noref2,167.05625,-112.91875,90,bottom
D60,D_Small,Diode_SOD-123_noref2,228.80625,-112.91875,90,bottom
D61,D_Small,Diode_SOD-123_noref2,271.55625,-112.91875,90,bottom
D62,D_Small,Diode_SOD-123_noref2,295.30625,-112.91875,90,bottom
D63,D_Small,Diode_SOD-123_noref2,86.30625,-112.91875,90,bottom
J2,Conn_01x04,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,94.625,-40.5,-90,bottom
R1,27.4,C_0603_1608Metric,120.477101,-110.720742,0,bottom
R2,27.4,C_0603_1608Metric,120.482101,-112.220742,180,bottom
R3,220R,C_0402_1005Metric_noref,36.3,-79.025,180,bottom
R4,1K,C_0402_1005Metric,132.462101,-101.520742,45,bottom
R5,10k,C_0402_1005Metric,111.2,-111.53,180,bottom
R6,1k,C_0402_1005Metric,111.2,-110.18,0,bottom
U1,RP2040,RP2040-QFN-56,128.672101,-105.840742,225,bottom
U2,XC6206PxxxMR,SOT-23,120.58,-43.042501,0,bottom
U3,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,115.272101,-108.520742,180,bottom
U4,SRV05-4,SOT-23-6,113.42,-42.13,90,bottom
Y1,ABM8-272-T3,Oscillator_SMD_EuroQuartz_XO32-4Pin_3.2x2.5mm,133.91002,-98.746794,-135,bottom
